country,unit,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3
ST LUCIA,E. CARIBBEAN DOLLAR,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
SUDAN,SUDANESE POUND,257,257,257,260,260,260,260,260,260,260.45,260.45,260.45,260.45,260.45,260.45,255.29,255,250,250,230,230,220,210,200,200,200,2.001,2,2.006,2.032,2.086,2.172,2.255,2.359,2.451,2.314,2.314,2.351,2.367,2.608,2.69,2.9,2.9,2.9,2.9,2.9,5.8,5.9,5.8,5.7,5.8,6.1,6.1,6.1,6.1,6.4,6.4,6.4,6.6,6.6,6.6,6.6,6.7
SURINAME,GUILDER,2320,2235,2200,2210,2255,2375,3015,2750,2750,2750,2800,2800,2800,2800,2.8,2.8,2.8,2.8,2.9,2.9,2.9,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,4,5.15,7.141,7.731
SWAZILAND,LILANGENI,7.677,7.995,8.434,11.99,11.337,9.768,10.508,8.555,8.125,8.041,6.938,6.865,6.311,6.509,5.726,5.794,5.77,6.74,6.44,6.335,6.174,6.668,7.189,6.906,7.122,7.122,7.151,7.921,7.715,7.568,10.154,9.466,8.034,7.708,7.78,7.369,7.317,7.625,7.365,7.07,6.96,6.8,8.067,8.142,7.658,8.49,8.245,8.485,9.25,9.97,10.08,10.48,10.63,10.605,11.26,11.566,12.209,12.246,13.837,15.556,14.718,14.851,13.848
SWEDEN,KRONA,9.79,10.772,10.45,10.446,10.456,9.764,9.397,8.748,8.466,7.724,7.696,7.318,7.563,7.451,7.489,6.728,6.823,7.42,7.6,7.948,7.946,7.21,7.236,6.855,6.919,6.919,6.882,6.372,6.182,6.745,8.028,8.594,7.697,7.702,7.111,7.116,7.214,7.734,7.404,7.04,6.35,6.34,6.849,6.849,6.616,7.23,6.52,6.512,6.52,6.72,6.41,6.414,6.42,6.721,7.26,7.713,8.641,8.243,8.388,8.443,8.098,8.489,8.618
SWITZERLAND,FRANC,1.668,1.796,1.669,1.658,1.701,1.572,1.502,1.386,1.355,1.291,1.317,1.276,1.272,1.253,1.264,1.14,1.158,1.245,1.261,1.317,1.318,1.214,1.236,1.226,1.225,1.225,1.207,1.01,1.046,1.048,1.1,1.098,1.172,1.083,1.057,1.031,1.166,1.08,1.019,1,0.93,0.84,0.901,0.935,0.902,0.97,0.935,0.916,0.95,0.95,0.91,0.891,0.88,0.89,0.96,0.989,0.972,0.93,0.974,0.994,0.96,0.978,0.975
SYRIA,POUND,46,46,46,46,46,46,46,51.5,51.5,51.5,51.5,51.5,51.66,51.65,51.53,52,52.25,53.1,53.9,55,53.05,50.7,51.4,51.9,50.4,50.4,49.65,48.1,47.55,45.7,46.2,46.5,47.25,46.85,45.95,45.5,45.85,46.85,46.85,46.45,46.35,47,48.6,55,70.75,68,63,63,63,65.0373,135.52,141.37,143.15,149.35,159.8,179.2,211.55,217.35,220.5,219.65,219,216.55,517.43
TAIWAN,DOLLAR,32.3,33.85,34.48,34.9,35.01,33.95,34.14,34.6,34.72,34.59,33.68,33.96,32.9,33.29,33.85,32.2,31.06,31.34,32.706,32.76,32.401,31.99,32.925,32.398,33.03,33.03,32.994,32.254,30.91,30.399,31.53,32.965,34.93,32.92,32.91,31.95,31.73,32.267,32.035,30.5,29.74,28.8,30.46,30.273,29.499,29.82,29.284,29.044,29.85,30.06,29.56,29.815,30.3,29.851,30.44,31.64,31.269,30.874,32.88,32.874,32.098,32.171,31.318
TAJIKISTAN,RUBLE,2.4,2.4,2.4,2.55,2.7,2.82,2.92,,3.1,3.1,3.1,2.98,2.93,0.819,3.02,3.03,3.05,3.07,3.17,3.2,3.22,3.24,3.41,3.46,3.45,3.45,3.45,3.47,3.46,3.42,3.42,3.48,4.4,4.42,4.43,4.38,4.37,4.38,4.38,4.4,4.41,4.64,4.761,4.758,4.758,4.76,4.765,4.76,4.76,,,,,,,,,,,,,,
TAJIKISTAN,SOMONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.76,4.76,4.77,4.8,4.94,5,5.3,6.26,6.5,6.56,7,7.8,7.8,7.8
TANZANIA,SHILLING,819,666,888,912,961,950,964,970,1027,1035,1039,1050,1105.5,1112,1072,1054,1103,1120,1131,1145,1185,1250,1311,1275,1246,1246,1120,1162,1160,1191,1299,1334,1318,1300,1311,1335,1356,1460,1518,1483,1516,1612,1650,1585,1588,1582,1569,1580,1612,1627,1606,1585,1621,1650,1672,1730,1845,1990,2155,2155,2182,2184,2176
THAILAND,BAHT,43.08,46.37,44.03,44.21,43.68,42.32,42.22,43.1,42.77,41.66,40.02,39.58,39.28,40.56,41.57,39.41,38.26,40.595,41.32,41,39.12,38.15,37.65,35.6,34.63,34.63,34.34,33.862,31.93,32.49,34.04,34.82,36.12,34.02,34.01,33.3,32.32,32.39,31.28,30.18,30.59,30.67,31.04,31.29,30.84,31.83,30.76,30.58,29.28,30.99,31.29,32.74,32.63,32.44,32.42,32.92,32.52,33.77,36.31,36.05,35.12,35.13,34.66
TIMOR LESTE,DILI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TOGO,CFA FRANC,710.53,774.9,721.7,736.12,756.23,703.42,668.64,628.89,607.57,549,556,528.72,535.04,537.15,537.68,493.54,493.65,530.65,534.08,555.04,551.17,509.89,512.49,498.16,487.04,487.04,480.24,446.08,429,465,509,479.5,515,465.01,456.95,454.89,533.82,532,516.53,503.3,474.3,453.48,485.39,501.73,491.39,528.7,506.57,496,511.67,501.41,485.93,475,477.79,480.52,516.65,538.7,606.41,586.93,585.31,602.79,575.7,590.69,587.51
TONGA,PA'ANGA,1.98,1.98,2.149,2.196,2.19,2.138,2.222,2.217,2.16,2.142,2.105,2.033,1.946,1.99,1.988,1.917,1.876,1.892,1.938,2.045,2.043,1.992,1.994,1.976,1.916,1.916,1.955,1.825,1.757,1.736,2.164,2.048,2.155,1.982,1.914,1.876,1.826,1.843,1.841,1.77,1.76,1.63,1.642,1.617,1.558,1.67,1.662,1.657,1.65,1.72,1.73,1.742,1.76,1.716,1.81,1.87,1.905,1.988,2.105,2.127,2.117,2.114,2.083
TRINIDAD & TOBAGO,DOLLAR,6.24,6.18,6.09,6.115,6.11,6.11,6.05,6.05,6.05,6.05,6.05,6.05,6.15,6.15,6.15,6.15,6.244,6.194,6.227,6.247,6.234,6.274,6.222,6.28,6.273,6.273,6.299,6.26,6.26,6.122,6.2,6.24,6.04,6.18,6.18,6.33,6.28,6.3,6.3,6.32,6.3,6.35,6.35,6.37,6.37,6.35,6.35,6.35,6.38,6.38,6.38,6.38,6.38,6.41,6.34,6.356,6.354,6.38,6.324,6.404,6.582,6.65,6.69
TUNISIA,DINAR,1.378,1.497,1.427,1.459,1.488,1.437,1.384,1.338,1.316,1.252,1.26,1.226,1.247,1.272,1.26,1.213,1.223,1.292,1.317,1.359,1.36,1.309,1.326,1.298,1.301,1.301,1.278,1.222,1.191,1.175,1.381,1.332,1.445,1.345,1.316,1.318,1.401,1.512,1.492,1.45,1.4,1.36,1.431,1.485,1.506,1.61,1.567,1.55,1.59,1.65,1.65,1.643,1.57,1.685,1.8,1.859,1.96,1.942,1.962,2.033,2.014,2.192,2.212
TURKEY,LIRA,930000,1155000,1365000,1450000,1393000,1436300,1620000,1655000,1595000,1424000,1390000,1420000,1309500,1418000,1498000,1430000,1276000,1362000,1341000,1345000,1345000,1345000,1345000,1345000,1345000,1345000,1345000,1345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKEY,NEW LIRA,,,,,,,,,,,,,,,,,1.36,1.362,1.347,1.35,1.596,1.57,1.514,1.408,1.316,1.316,1.298,1.178,1.201,1.21,1.558,1.705,1.69,1.532,1.499,1.493,1.521,1.578,1.529,1.51,1.6,1.62,1.856,1.884,1.781,1.85,1.794,1.786,1.81,1.93,2.04,2.136,2.22,2.124,2.28,2.327,2.614,2.686,3.026,2.918,2.819,2.881,3.003
TURKMENISTAN,RUBLE,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5250,5200,5200,5200,5148,5148,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,19800,14215,14215,3733.2324,14215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TURKMENISTAN,MANAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.843,2.843,2.843,2.843,2.843,2.843,2.843,2.843,2.84,2.84,2.84,2.843,2.843,2.843,2.84,2.843,2.843,2.84,2.84,2.84,2.843,2.84,2.843,2.84,2.843,3.491,3.491,3.491,3.491,3.491,3.491,3.491
UGANDA,SHILLING,1680,1765,1740,1680,1740,1792,1795,1830,1905,1991.01,1982,1873,1910,1834.75,1708,1738,1685,1744,1820,1812,1820,1850,1849.25,1753,1680,1680,1770,1730.05,1690.51,1621,1980,1935,2225,2045,2040,1895,2075,2273,2263,2313,2354,2560,2840,2465,2515,2480,2550,2686,2585,2585,2555,2520,2525,2595,2647,2770,2973,3288,3685,3378,3365,3400,3385
UKRAINE,HRYVNIA,5.57,5.5,5.36,5.25,5.28,5.35,5.312,5.312,5.322,5.318,5.319,5.319,5.319,5.319,5.319,5.295,5.28,5.032,4.948,5.01,5.037,5.042,5,5.034,5.018,5.018,5.017,5.035,5.051,4.784,7.6,8,8.4,8.6,8.47,8.03,7.975,7.975,7.89,7.89,7.98,7.98,7.979,8.022,8.033,8.08,8.147,8.04,8.13,8.15,8.19,8.23,9.4,11.72,12.9,15.768,23.164,20.99,21.05,23.952,26.27,24.81,25.88
UNITED ARAB EMIRATES,DIRHAM,3.672,3.672,3.672,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.672,3.673,3.673,3.672,3.673,3.673,3.672,3.673,3.673,3.671,3.671,3.673,3.655,3.672,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.673,3.672,3.673,3.67,3.67,3.67,3.673,3.673,3.673,3.67,3.673,3.673,3.67,3.67,3.67,3.673,3.67,3.673,3.67,3.673,3.673,3.673,3.673,3.673,3.673,3.672,3.673
UNITED KINGDOM,POUND STERLING,0.692,0.705,0.689,0.688,0.707,0.684,0.646,0.621,0.634,0.608,0.6,0.566,0.545,0.546,0.554,0.524,0.519,0.548,0.557,0.582,0.572,0.534,0.527,0.512,0.505,0.505,0.496,0.486,0.505,0.565,0.654,0.657,0.61,0.605,0.613,0.616,0.661,0.665,0.65,0.64,0.62,0.62,0.641,0.637,0.625,0.65,0.617,0.618,0.66,0.66,0.62,0.605,0.6,0.588,0.62,0.642,0.677,0.636,0.659,0.675,0.694,0.745,0.772
URUGUAY,PESO,12.6,13.06,13.47,13.9,14.12,16.6,28,26.9,28.25,27.9,27.6,28.7,29.25,29.3,27.42,26.7,25.3,24.15,24.2,23.5,24.2,23.85,23.8,24.25,23.85,23.85,23.5,21.85,20.85,19.65,24.25,24.25,23.2,23.07,20.13,19.45,19.45,20.85,20.75,19.9,19.35,18.3,19.75,19.8,19.3,20.45,21,19.05,18.78,20.23,21.65,21.1,22.42,22.82,24.75,23.96,25.82,26.88,28.9,29.89,32.04,30.57,28.5
UZBEKISTAN,SOM,793.5,793.5,850,890,960,1380,1050,1030,1000,1000,974,974,1000,1012,1034,1051,1068,1102,1127,1145,1208,1232,1235,1240,1258,1258,1273,1294,1307,1318,1332,1399,1420,1496,1507,1525,1563,1608,1626,1645,1676,1725,1758,1802,1865,1898,1966,2014,2071,2126,2180,2237,2265,2349,2405,2461,2531,2597,2664,2857,2925,2993,3061
VANUATU,VATU,142.45,145.89,145.89,145.89,145.89,135.85,136.2,132.84,127,121.03,118.86,112.5,110.91,113.77,114.99,106.52,106.23,108.4,109.95,111.05,111.2,108.35,107.79,103.57,100.2,100.2,88.01,93.4,89.1,94.44,114.6,108.5,103.05,103.05,99.7,96.09,95.46,99.8,97.24,92.59,91.76,87.77,92.01,92.1,89.51,95,90.26,90.1,90.71,95.01,94.17,95.36,95.01,92.11,97.54,99.93,104.05,104.58,110.24,108.55,104.37,109.1,105.09
VENEZUELA,BOLIVAR,704,714,736,757,1015,1116,1410,1397,1600,1600,1600,1600,1920,1920,1920,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.15,2.6,2.6,2.6,4.3,2.6,2.6,4.3,4.3,4.3,4.3,4.3,4.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,270.47,626.01,657.55
VIETNAM,DONG,14562,14659,14991,15081,15139,15247,15325,15396,15426,15469,15549,15657,15717,15739,15755,15767,15798,15850,15867,15913,15909,15955,16018,16058,16080,16080,16229,16035,15930,16245,16570,17426,17428,17760,17815,18469,19080,19000,19500,19500,20900,19500,20800,21000,21000,21000,21000,21000,20900,21000,21100,21100,21100,21300,21200,21400,21400,21790,22475,22480,22286,22281,22303
WESTERN SAMOA,TALA,3.28,3.28,3.344,3.496,3.484,3.266,3.29,3.165,3.049,2.907,2.786,2.746,2.75,2.71,2.789,2.551,2.597,2.551,2.674,2.681,2.714,2.674,2.714,2.583,2.485,2.485,2.547,2.331,2.296,2.541,2.865,2.761,2.861,2.65,2.566,2.519,2.519,2.417,2.401,2.23,2.25,2.16,2.234,2.244,2.136,2.23,2.208,2.205,2.18,2.27,2.24,2.259,2.27,2.189,2.32,2.353,2.398,2.463,2.584,2.502,2.47,2.462,2.433
YEMEN,RIAL,165,168,170,173,173,175,176,179,182,183,183,184,184,184,184,185,187,192,192,194,196,196,197,198,198,198,199,199,199,199,199,199,200,200,204,206,222,225,214,214,214,218,218,218,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,214.5,250.5,250.5
YUGOSLAVIA,DINAR,64.8,,65.533,65.533,66.796,66.796,66.796,59.29,57.71,56.69,57.56,55.18,57.66,58.44,60.88,58.3,61.04,65.54,69.1,71.92,73.83,68.53,65.03,59.79,0.743,60.44,58.48,57.44,54.97,53.09,64.97,67.22,73.68,66.25,65.15,66.73,84.56,85.48,0.789,76.27,72.21,69.86,74.68,78.85,83.31,92.15,88.94,86.18,87.43,,,,,,,,,,,,,,
ZAMBIA,KWACHA,3520,3420,3570,3735,4300,4275,4450,4500,4950,4730,4740,4230,4625,4685,4705,4675,4600,4575,4220,3340,3270,3940,,4040,3960,3960,4030,3745,3230,3380,5180,5605,4960,5150,4625,4640,4680,5130,4930,4925,4740,4830,4780,5120,5270,5335,5080,5185,5365,5470,5335,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455,5455
ZAMBIA,NEW KWACHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47,5.335,5.5,5.82,6.25,6.25,6.375,7.58,7.51,12.115,10.99,11.03,9.8,10.015
ZIMBABWE,DOLLAR,80,118,260,345,330,470,680,1605,1420,2201,5650,6500,4381.88,5330.24,6200,6200,6472,9000,24150,108000,126300,255.1,,6100,27720,140000,2.00E+06,2.00E+07,2.91E+09,8.31E+09,8.31E+09,6.00E+09,6.00E+09,6.00E+09,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
